run_id,id,db_id,difficulty,step_index,event_sequence,turn,action_type,sql,tables,projection_count,sql_delta_from_previous,observation_state,result_matches_gold,transition_type,is_first_nonmatching_execution,retrieval_diagnostic,semantic_error_class,semantic_subcategory,state_payload
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,1,1,1,query_plan.action_contract,,[],,not_applicable,plan_invalid,unknown,query_plan.action_contract,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""each E4-A action must contain exactly one Python block; found 2""]}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,2,2,2,query_plan.initial,,[],,not_applicable,plan_invalid,unknown,query_plan.initial,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""required fenced JSON block is missing""]}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,3,3,3,query_plan.initial,,[],,not_applicable,plan_valid,unknown,query_plan.initial,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": true, ""payload"": {""target_entity"": ""Symptoms and Diagnosis for the youngest patient with a medical examination"", ""grain"": ""one examination row for the youngest examined patient"", ""schema_links"": [""Examination.ID = Patient.ID""], ""joins"": [{""left_table"": ""Examination"", ""right_table"": ""Patient"", ""condition"": ""Examination.ID = Patient.ID"", ""join_type"": ""INNER""}], ""filters"": [""Examination.Symptoms IS NOT NULL""], ""group_by"": [], ""aggregates"": [""MAX(Patient.Birthday)""], ""having"": [], ""order_by"": [""Patient.Birthday DESC"", ""Examination.\""Examination Date\"" DESC""], ""limit"": 20, ""answer_type"": ""rows"", ""output_columns"": [""Symptoms"", ""Diagnosis""], ""candidate_purpose"": ""explore"", ""expected_result_shape"": {""answer_type"": ""rows"", ""column_count"": 2, ""row_grain"": ""single examination row""}, ""unresolved_assumptions"": [""The youngest patient is determined only among patients who have at least one Examination row"", ""If the youngest patient has multiple non-NULL Symptoms rows, the latest Examination Date may be needed as a tie-breaker""], ""revision"": null}, ""errors"": []}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,4,4,3,db.execute,"WITH youngest AS (
  SELECT p.ID, p.Birthday
  FROM Patient AS p
  INNER JOIN Examination AS e
    ON e.ID = p.ID
  GROUP BY p.ID, p.Birthday
  ORDER BY p.Birthday DESC
  LIMIT 1
)
SELECT e.Symptoms, e.Diagnosis, p.ID, p.Birthday, e.""Examination Date""
FROM Examination AS e
INNER JOIN Patient AS p
  ON e.ID = p.ID
INNER JOIN youngest AS y
  ON y.ID = p.ID
WHERE e.Symptoms IS NOT NULL
ORDER BY e.""Examination Date"" DESC
LIMIT 20;","[""examination"", ""patient"", ""youngest""]",5,initial_sql,empty_nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,5,5,3,query_plan.adherence,"WITH youngest AS (
  SELECT p.ID, p.Birthday
  FROM Patient AS p
  INNER JOIN Examination AS e
    ON e.ID = p.ID
  GROUP BY p.ID, p.Birthday
  ORDER BY p.Birthday DESC
  LIMIT 1
)
SELECT e.Symptoms, e.Diagnosis, p.ID, p.Birthday, e.""Examination Date""
FROM Examination AS e
INNER JOIN Patient AS p
  ON e.ID = p.ID
INNER JOIN youngest AS y
  ON y.ID = p.ID
WHERE e.Symptoms IS NOT NULL
ORDER BY e.""Examination Date"" DESC
LIMIT 20;",[],,not_applicable,adherence_failed,unknown,query_plan.adherence,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""schema_version"": 1, ""checks"": {""projection_count"": false, ""group_by_presence"": false, ""having_presence"": true, ""order_by_presence"": true, ""limit_presence"": true}, ""passed"": false, ""expected_projection_count"": 2, ""actual_projection_count"": 5, ""enforced"": false}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,6,6,4,query_plan.action_contract,,[],,not_applicable,plan_invalid,unknown,query_plan.action_contract,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""each E4-A action must contain exactly one Python block; found 2""]}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,7,7,5,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""observation_ref must equal the latest structured observation sequence (4)""]}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,8,8,6,query_plan.action_contract,,[],,not_applicable,plan_invalid,unknown,query_plan.action_contract,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""each E4-A action must contain exactly one Python block; found 2""]}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,9,9,7,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""observation_ref must equal the latest structured observation sequence (4)""]}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,10,10,8,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""required fenced JSON block is missing""]}"
20260714T121028Z-7edfbdd7,bird_1166,thrombosis_prediction,simple,11,11,8,FINAL,,[],,"tables_or_join,projection_count,where,group_by,order_by,limit",benchmark_nonmatching_final,false,unverified_rewrite_after_nonmatching_execution,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,
20260714T121028Z-7edfbdd7,bird_1251,thrombosis_prediction,simple,1,1,1,query_plan.initial,,[],,not_applicable,plan_valid,unknown,query_plan.initial,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,"{""valid"": true, ""payload"": {""target_entity"": ""patients with Ig G higher than normal"", ""grain"": ""distinct patient ID"", ""schema_links"": [""Laboratory.ID""], ""joins"": [], ""filters"": [""Laboratory.IGG >= 2000""], ""group_by"": [], ""aggregates"": [""COUNT(DISTINCT Laboratory.ID)""], ""having"": [], ""order_by"": [], ""limit"": null, ""answer_type"": ""scalar"", ""output_columns"": [""COUNT(DISTINCT Laboratory.ID)""], ""candidate_purpose"": ""answer"", ""expected_result_shape"": {""answer_type"": ""scalar"", ""column_count"": 1, ""row_grain"": ""single aggregate value""}, ""unresolved_assumptions"": [""Use the provided hint that Ig G higher than normal means IGG >= 2000"", ""Count distinct patients by Laboratory.ID without needing a join""], ""revision"": null}, ""errors"": []}"
20260714T121028Z-7edfbdd7,bird_1251,thrombosis_prediction,simple,2,2,1,db.execute,SELECT COUNT(DISTINCT ID) AS patient_count FROM Laboratory WHERE IGG >= 2000;,"[""laboratory""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260714T121028Z-7edfbdd7,bird_1251,thrombosis_prediction,simple,3,3,1,query_plan.adherence,SELECT COUNT(DISTINCT ID) AS patient_count FROM Laboratory WHERE IGG >= 2000;,[],,not_applicable,adherence_passed,unknown,query_plan.adherence,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,"{""schema_version"": 1, ""checks"": {""projection_count"": true, ""group_by_presence"": true, ""having_presence"": true, ""order_by_presence"": true, ""limit_presence"": true}, ""passed"": true, ""expected_projection_count"": 1, ""actual_projection_count"": 1, ""enforced"": false}"
20260714T121028Z-7edfbdd7,bird_1251,thrombosis_prediction,simple,4,4,1,FINAL,SELECT COUNT(DISTINCT ID) AS patient_count FROM Laboratory WHERE IGG >= 2000;,"[""laboratory""]",1,unchanged,benchmark_nonmatching_final,false,final_same_as_last_execution,false,retrieval_complete_mining_abstained_semantic_failure,SCHEMA_LINKING,table_or_join_path_mismatch,
20260714T121028Z-7edfbdd7,bird_1031,european_football_2,challenging,1,1,1,query_plan.initial,,[],,not_applicable,plan_valid,unknown,query_plan.initial,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,"{""valid"": true, ""payload"": {""target_entity"": ""player age at present for players with sprint_speed >= 97 from 2013 to 2015"", ""grain"": ""qualifying player-attribute row (Player_Attributes joined to Player)"", ""schema_links"": [""Player_Attributes.player_api_id = Player.player_api_id""], ""joins"": [{""left_table"": ""Player_Attributes"", ""right_table"": ""Player"", ""on"": ""Player_Attributes.player_api_id = Player.player_api_id"", ""join_type"": ""INNER""}], ""filters"": [""Player_Attributes.sprint_speed >= 97"", ""YEAR(Player_Attributes.date) >= 2013"", ""YEAR(Player_Attributes.date) <= 2015""], ""group_by"": [], ""aggregates"": [""AVG(player age at present)""], ""having"": [], ""order_by"": [], ""limit"": null, ""answer_type"": ""scalar"", ""output_columns"": [""AVG(player age at present)""], ""candidate_purpose"": ""answer"", ""expected_result_shape"": {""answer_type"": ""scalar"", ""column_count"": 1, ""row_grain"": ""single aggregate value""}, ""unresolved_assumptions"": [""Age at present should be computed from Player.birthday using the current datetime"", ""Query should return the average age because the prompt asks to 'calculate for the player's age'""], ""revision"": null}, ""errors"": []}"
20260714T121028Z-7edfbdd7,bird_1031,european_football_2,challenging,2,2,1,db.execute,"SELECT AVG((julianday('now') - julianday(Player.birthday)) / 365.25) AS average_player_age
FROM Player_Attributes
INNER JOIN Player
  ON Player_Attributes.player_api_id = Player.player_api_id
WHERE Player_Attributes.sprint_speed >= 97
  AND CAST(strftime('%Y', Player_Attributes.date) AS INTEGER) >= 2013
  AND CAST(strftime('%Y', Player_Attributes.date) AS INTEGER) <= 2015","[""player"", ""player_attributes""]",1,initial_sql,nonmatching,false,initial_execution_nonmatching,true,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260714T121028Z-7edfbdd7,bird_1031,european_football_2,challenging,3,3,1,query_plan.adherence,"SELECT AVG((julianday('now') - julianday(Player.birthday)) / 365.25) AS average_player_age
FROM Player_Attributes
INNER JOIN Player
  ON Player_Attributes.player_api_id = Player.player_api_id
WHERE Player_Attributes.sprint_speed >= 97
  AND CAST(strftime('%Y', Player_Attributes.date) AS INTEGER) >= 2013
  AND CAST(strftime('%Y', Player_Attributes.date) AS INTEGER) <= 2015",[],,not_applicable,adherence_passed,unknown,query_plan.adherence,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,"{""schema_version"": 1, ""checks"": {""projection_count"": true, ""group_by_presence"": true, ""having_presence"": true, ""order_by_presence"": true, ""limit_presence"": true}, ""passed"": true, ""expected_projection_count"": 1, ""actual_projection_count"": 1, ""enforced"": false}"
20260714T121028Z-7edfbdd7,bird_1031,european_football_2,challenging,4,4,1,FINAL,"SELECT AVG((julianday('now') - julianday(Player.birthday)) / 365.25) AS average_player_age FROM Player_Attributes INNER JOIN Player ON Player_Attributes.player_api_id = Player.player_api_id WHERE Player_Attributes.sprint_speed >= 97 AND CAST(strftime('%Y', Player_Attributes.date) AS INTEGER) >= 2013 AND CAST(strftime('%Y', Player_Attributes.date) AS INTEGER) <= 2015","[""player"", ""player_attributes""]",1,unchanged,benchmark_nonmatching_final,false,final_same_as_last_execution,false,retrieval_complete_mining_abstained_semantic_failure,AGGREGATION_REASONING,aggregation_or_grouping_mismatch,
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,1,1,1,query_plan.initial,,[],,not_applicable,plan_valid,unknown,query_plan.initial,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": true, ""payload"": {""target_entity"": ""driver lap time ranking"", ""grain"": ""one row per driver"", ""schema_links"": [""lapTimes.driverId = drivers.driverId""], ""joins"": [{""left_table"": ""lapTimes"", ""right_table"": ""drivers"", ""on"": ""lapTimes.driverId = drivers.driverId""}], ""filters"": [], ""group_by"": [""drivers.driverId"", ""drivers.forename"", ""drivers.surname""], ""aggregates"": [""MIN(lapTimes.time) as shortest_lap_time""], ""having"": [], ""order_by"": [""shortest_lap_time ASC"", ""drivers.surname ASC"", ""drivers.forename ASC""], ""limit"": 20, ""answer_type"": ""rows"", ""output_columns"": [""forename"", ""surname""], ""candidate_purpose"": ""answer"", ""expected_result_shape"": {""answer_type"": ""rows"", ""column_count"": 2, ""row_grain"": ""up to 20 drivers""}, ""unresolved_assumptions"": [""Whether ranking should be based on each driver's MIN(lapTimes.time) or the absolute minimum lap time across all drivers""], ""revision"": null}, ""errors"": []}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,2,2,2,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""no structured observation is available for a revision""]}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,3,3,3,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""no structured observation is available for a revision""]}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,4,4,4,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""no structured observation is available for a revision""]}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,5,5,5,query_plan.action_contract,,[],,not_applicable,plan_invalid,unknown,query_plan.action_contract,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""each E4-A action must contain exactly one Python block; found 2""]}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,6,6,6,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""no structured observation is available for a revision""]}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,7,7,7,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""no structured observation is available for a revision""]}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,8,8,8,query_plan.revision,,[],,not_applicable,plan_invalid,unknown,query_plan.revision,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,"{""valid"": false, ""payload"": null, ""errors"": [""no structured observation is available for a revision""]}"
20260714T121028Z-7edfbdd7,bird_1011,formula_1,challenging,9,9,8,FINAL,,[],,initial_sql,benchmark_nonmatching_final,false,final_without_execution,false,retrieval_complete_mining_abstained_semantic_failure,RUNNER_OR_API,missing_final_sql,
